가게,메뉴,가격
포라코,치킨(소),7000
포라코,치킨(대),10000
BOP,목살 스테이크,7500
브라더또띠아,부리또,5000
브라더또띠아,피자,10000
십알타코야끼,오리지널,5000
십알타코야끼,칠리치즈,6000
먹깨비,롱점보닭꼬치,4000
타코스토리,타코야키,5000
타코스토리,소떡소떡,3000
타코스토리,멘보샤,8000
맛난쌀핫도그,핫도그(소시지),2000
맛난쌀핫도그,핫도그(통모짜렐라),2500
맛난쌀핫도그,핫도그(모짜렐라+소시지),2500
맛난쌀핫도그,핫도그(체다치즈+소시지),2500
맛난쌀핫도그,핫도그(빅소시지),3500
맛난쌀핫도그,소떡소떡,3000
널부르는트럭,수제타코야끼,5000
짱츄닭,닭꼬치,4000
짱츄닭,츄러스,3000
짱츄닭,소떡소떡,3000
스타빅,떡볶이,4000
스타빅,순대,4000
스타빅,어묵,1000
스타빅,타코야끼,5000
스타빅,베이컨 치즈핫도그,6000
푸드마켙,닭꼬치,3000
푸드마켙,양꼬치,3000
푸드마켙,치즈핫도그,2500
형아네,양꼬치,3000
밤마실,칠리쉬림프,7000
밤마실,갈릭버터쉬림프,7000
밤마실,레몬크림쉬림프,7000
미드나잇,새우플레이트,9000
미드나잇,마약옥수수,4000
CHUING,오리지널치즈슈가 츄러스,2000
CHUING,아메리카노,2000
CHUING,복숭아아이스티,2000
CHUING,레몬에이드,3000
CHUING,자몽에이드,2000
CHUING,청사과에이드,2000
CHUING,블루베리에이드,2000
YO! Chef!,마요롱닭꼬치,3500
YO! Chef!,매운롱닭꼬치,3500
YO! Chef!,데리롱닭꼬치,3500
YO! Chef!,치즈롱닭꼬치,4500
YO! Chef!,갈비꼬치,4500
YO! Chef!,스테이크꼬치,5500
YO! Chef!,쏘떡쏘떡,3000
불아이스,닭꼬치,3000
불아이스,염통꼬치,2000
불아이스,새우모듬튀김,6000
불아이스,수박주스,4000
불아이스,오렌지수스,3500
불아이스,사과주스,3500
나는 닭강정이다,닭강정(소),5000
나는 닭강정이다,닭강정(대),10000
오산누들,여왕오징어튀김,7000
오산누들,왕새우튀김,7000
오산누들,무뼈닭발,10000
오산누들,순쌀떡볶이,4000
오산누들,옛날핫도그,2500
오산누들,콘누드소세지,2500
오산누들,대왕닭꼬치,4000
맛짱,닭강정(소),5000
맛짱,닭강정(소),9000
맛짱,닭강정(소),13000
맛짱,치즈닭강정(중),10000
맛짱,치즈닭강정(대),15000
마이츄러스,츄러스,3000
마이츄러스,회오리감자,3000
불타는네모반점,네모새우,5000
불타는네모반점,레몬크림새우,5000
불타는네모반점,칠리새우,5000
뉴요커핫도그,뉴욕핫도그,4000
뉴요커핫도그,불고기핫도그,4000
뉴요커핫도그,싸이핫도그,4000
뉴요커핫도그,플레인핫도그,3000
뉴요커핫도그,수세소세지,2000
아라푸드,아라 핫도그,4000
아라푸드,타코야키(소),3000
아라푸드,타코야키(중),5000
아라푸드,타코야키(대),8000
아라푸드,슬러스,2000
아라푸드,임실치즈아이스크림,4000
홀리츄릅,치마새우,6000
홀리츄릅,베이컨 새우말이 볶음밥,6000
홀리츄릅,불고기 핫도그,5000
홀리츄릅,통살새우 핫도그,5000
허니푸드,파닭꼬치,3000
미미핫도그,미미 핫도그,1500
미미핫도그,스팸치즈 핫도그,2500
미미핫도그,대왕 핫도그,2000
미미핫도그,체다치즈 핫도그,2000
미미핫도그,모짜렐라치즈 핫도그,2000
꼬치아찌,겁나큰닭꼬치,3500
꼬치아찌,염통꼬치,3000
꼬치아찌,오뎅,750
